 ESP FILE - ATOMIC UNITS
 CHARGE =   0 - MULTIPLICITY =   1
 ATOMIC COORDINATES AND ESP CHARGES. #ATOMS =       36
  C      -0.19936087D-30  0.69377062D+01  0.13735136D+01  0.23087263D+00
  C      -0.14269446D-30  0.69377062D+01 -0.13735133D+01  0.23087256D+00
  C      -0.28474806D-30  0.93231396D+01  0.26621197D+01 -0.29404642D+00
  C      -0.17491818D-30  0.93231396D+01 -0.26621213D+01 -0.29404707D+00
  C      -0.31237954D-30  0.11539342D+02  0.13531329D+01 -0.11160317D+00
  C      -0.25655392D-30  0.11539341D+02 -0.13531325D+01 -0.11160235D+00
  C      -0.16957810D-30  0.46549945D+01  0.26576940D+01 -0.39966972D+00
  C      -0.85384845D-31  0.23130796D+01  0.13749592D+01  0.13268937D+00
  C      -0.59930853D-31  0.46549946D+01 -0.26576937D+01 -0.39966951D+00
  C      -0.28658791D-31  0.23130796D+01 -0.13749589D+01  0.13268798D+00
  H      -0.32702891D-30  0.93225103D+01  0.47125274D+01  0.16354400D+00
  H      -0.21192980D-30  0.46561510D+01  0.47094017D+01  0.19333015D+00
  H      -0.17636173D-31  0.46561492D+01 -0.47093996D+01  0.19333028D+00
  H      -0.13260634D-30  0.93225104D+01 -0.47125270D+01  0.16354455D+00
  H      -0.28000064D-30  0.13327346D+02 -0.23532663D+01  0.13637752D+00
  H      -0.37708828D-30  0.13327346D+02  0.23532667D+01  0.13637819D+00
  C      -0.23163593D-23  0.00000000D+00  0.26586293D+01 -0.26694341D+00
  C      -0.28327056D-15 -0.23130796D+01  0.13749592D+01  0.13268937D+00
  C      -0.40240435D-23  0.00000000D+00 -0.26586291D+01 -0.26694256D+00
  C      -0.28327056D-15 -0.23130796D+01 -0.13749589D+01  0.13268798D+00
  H      -0.16574923D-23  0.00000000D+00  0.47101595D+01  0.16395392D+00
  H      -0.46829092D-23  0.00000000D+00 -0.47101555D+01  0.16395405D+00
  C      -0.57007241D-15 -0.46549945D+01  0.26576940D+01 -0.39966972D+00
  C      -0.84962397D-15 -0.69377062D+01  0.13735136D+01  0.23087263D+00
  C      -0.57007242D-15 -0.46549946D+01 -0.26576937D+01 -0.39966951D+00
  C      -0.84962397D-15 -0.69377062D+01 -0.13735133D+01  0.23087256D+00
  H      -0.57021405D-15 -0.46561510D+01  0.47094017D+01  0.19333015D+00
  H      -0.57021382D-15 -0.46561492D+01 -0.47093996D+01  0.19333028D+00
  C      -0.11417553D-14 -0.93231396D+01  0.26621197D+01 -0.29404642D+00
  C      -0.14131619D-14 -0.11539342D+02  0.13531329D+01 -0.11160317D+00
  C      -0.11417553D-14 -0.93231396D+01 -0.26621213D+01 -0.29404707D+00
  C      -0.14131616D-14 -0.11539341D+02 -0.13531325D+01 -0.11160235D+00
  H      -0.11416782D-14 -0.93225103D+01  0.47125274D+01  0.16354400D+00
  H      -0.16321292D-14 -0.13327346D+02  0.23532667D+01  0.13637819D+00
  H      -0.16321292D-14 -0.13327346D+02 -0.23532663D+01  0.13637752D+00
  H      -0.11416782D-14 -0.93225104D+01 -0.47125270D+01  0.16354455D+00
 DIPOLE MOMENT:
 X= -0.78580979D-16 Y= -0.13143653D-12 Z=  0.59709545D-06 Total=  0.59709545D-06
 TRACELESS QUADRUPOLE MOMENT:
   XX= -0.14724776D+02   YY=  0.82327995D+01   ZZ=  0.64919769D+01
   XY=  0.45365880D-12   XZ= -0.62931500D-21   YZ=  0.56857297D-13
 ESP VALUES AND GRID POINT COORDINATES. #POINTS =    1602
 -0.17234341D-01  0.34367567D+01  0.69377062D+01  0.33577260D+01
 -0.23583118D-01  0.39684249D+01  0.69377062D+01  0.13735136D+01
 -0.22599632D-01 -0.38531096D+01  0.78874124D+01  0.13735136D+01
 -0.25534268D-01 -0.38531096D+01  0.59880000D+01  0.13735136D+01
 -0.23583126D-01  0.39684249D+01  0.69377062D+01 -0.13735133D+01
 -0.22599643D-01 -0.38531096D+01  0.78874125D+01 -0.13735133D+01
 -0.25534278D-01 -0.38531096D+01  0.59880000D+01 -0.13735133D+01
 -0.17234354D-01  0.34367567D+01  0.69377062D+01 -0.33577257D+01
 -0.86374170D-02  0.34367567D+01  0.93231396D+01  0.46463321D+01
 -0.69832930D-02  0.28911838D+01  0.11181191D+02  0.46463321D+01
 -0.96102812D-03 -0.22505970D+01  0.11920467D+02  0.46463321D+01
 -0.91236817D-02 -0.32975439D+01  0.10291386D+02  0.46463321D+01
 -0.67231850D-02 -0.32975439D+01  0.83548934D+01  0.46463321D+01
 -0.37501618D-02  0.28911838D+01  0.74650886D+01  0.46463321D+01
 -0.22087316D-01  0.39684249D+01  0.93231396D+01  0.26621197D+01
 -0.24188792D-01 -0.38531096D+01  0.10272846D+02  0.26621197D+01
 -0.20422091D-01 -0.38531096D+01  0.83734334D+01  0.26621197D+01
 -0.24181375D-01  0.34367567D+01  0.93231396D+01  0.67790729D+00
 -0.24181388D-01  0.34367567D+01  0.93231396D+01 -0.67790885D+00
 -0.22087326D-01  0.39684249D+01  0.93231396D+01 -0.26621213D+01
 -0.24188798D-01 -0.38531096D+01  0.10272846D+02 -0.26621213D+01
 -0.20422101D-01 -0.38531096D+01  0.83734334D+01 -0.26621213D+01
 -0.86373987D-02  0.34367567D+01  0.93231396D+01 -0.46463337D+01
 -0.69832865D-02  0.28911838D+01  0.11181191D+02 -0.46463337D+01
 -0.96104729D-03 -0.22505970D+01  0.11920467D+02 -0.46463337D+01
 -0.91236661D-02 -0.32975439D+01  0.10291386D+02 -0.46463337D+01
 -0.67231652D-02 -0.32975439D+01  0.83548934D+01 -0.46463337D+01
 -0.37501412D-02  0.28911838D+01  0.74650887D+01 -0.46463337D+01
 -0.17499859D-01  0.34367567D+01  0.11539342D+02  0.33373453D+01
 -0.10412510D-01 -0.32975439D+01  0.12507589D+02  0.33373453D+01
 -0.21582004D-01  0.39684249D+01  0.11539342D+02  0.13531329D+01
 -0.81533310D-02  0.35138657D+01  0.13383561D+02  0.13531329D+01
 -0.47269677D-03 -0.29704087D+01  0.14170895D+02  0.13531329D+01
 -0.15196636D-01 -0.38531096D+01  0.12489049D+02  0.13531329D+01
 -0.26391986D-01 -0.38531096D+01  0.10589636D+02  0.13531329D+01
 -0.21582018D-01  0.39684249D+01  0.11539341D+02 -0.13531325D+01
 -0.81533658D-02  0.35138657D+01  0.13383560D+02 -0.13531325D+01
 -0.47274092D-03 -0.29704087D+01  0.14170893D+02 -0.13531325D+01
 -0.15196660D-01 -0.38531096D+01  0.12489047D+02 -0.13531325D+01
 -0.26391992D-01 -0.38531096D+01  0.10589634D+02 -0.13531325D+01
 -0.17499894D-01  0.34367567D+01  0.11539341D+02 -0.33373450D+01
 -0.10412562D-01 -0.32975439D+01  0.12507587D+02 -0.33373450D+01
 -0.86476802D-02  0.34367567D+01  0.46549945D+01  0.46419064D+01
 -0.49288877D-02  0.28911838D+01  0.65130455D+01  0.46419064D+01
 -0.81461872D-02 -0.32975439D+01  0.56232408D+01  0.46419064D+01
